450,180  545,410
404,131  450,180
197,25  404,131
83,12  197,25
131,5  83,12
142,17  131,5
151,2  142,17
141,64  151,2
19,105  141,64
76,3  19,105
26,68  76,3
37,44  26,68
14,107  37,44
62,177  14,107
56,147  62,177
23,105  56,147
98,181  23,105
74,176  98,181
112,161  74,176
137,116  112,161
195,18  137,116
408,66  195,18
488,60  408,66
535,36  488,60
504,77  535,36
501,109  504,77
435,96  501,109
417,127  435,96
405,193  417,127
407,177  405,193
433,150  407,177
503,141  433,150
586,170  503,141
556,56  586,170
493,84  556,56
480,117  493,84
449,52  480,117
448,58  449,52
403,74  448,58
196,69  403,74
100,411  196,69
15,429  100,411
1,475  15,429
43,560  1,475
141,556  43,560
167,562  141,556
50,529  167,562
35,440  50,529
131,432  35,440
173,492  131,432
166,440  173,492
127,415  166,440
95,416  127,415
4,414  95,416
23,419  4,414
25,409  23,419
12,430  25,409
52,477  12,430
194,491  52,477
183,475  194,491
433,511  183,475
450,515  433,511
480,419  450,515
448,503  480,419
445,580  448,503
416,475  445,580
425,452  416,475
457,414  425,452
485,474  457,414
532,515  485,474
449,531  532,515
445,584  449,531
513,583  445,584
593,574  513,583
519,579  593,574
596,545  519,579
596,549  596,545
578,420  596,549
559,404  578,420
545,410  559,404
